Perf.,Cost,Query,Type
21756,1248019,35,ONLINE/THETA-0.0
15925,572868,36,ONLINE/THETA-0.0
6464,243544,37,ONLINE/THETA-0.0
21970,1742987,38,ONLINE/THETA-0.0
25669,470967,39a,ONLINE/THETA-0.0
24938,486878,39b,ONLINE/THETA-0.0
17465,780502,40,ONLINE/THETA-0.0
17891,69935,41,ONLINE/THETA-0.0
19811,863320,42,ONLINE/THETA-0.0
13445,411320,43,ONLINE/THETA-0.0
19810,442970,44,ONLINE/THETA-0.0
22454,917763,45,ONLINE/THETA-0.0
18003,576602,46,ONLINE/THETA-0.0
41871,1596445,47,ONLINE/THETA-0.0
18410,745356,48,ONLINE/THETA-0.0
29144,2198619,49,ONLINE/THETA-0.0
27108,1215929,50,ONLINE/THETA-0.0
18156,1114256,51,ONLINE/THETA-0.0
10608,434116,52,ONLINE/THETA-0.0
11696,342935,53,ONLINE/THETA-0.0
26411,1091682,54,ONLINE/THETA-0.0
10235,420763,55,ONLINE/THETA-0.0
20122,1299590,56,ONLINE/THETA-0.0
27731,1063818,57,ONLINE/THETA-0.0
27945,2422097,58,ONLINE/THETA-0.0
17428,762167,59,ONLINE/THETA-0.0
18042,1274435,60,ONLINE/THETA-0.0
25153,1572228,61,ONLINE/THETA-0.0
19296,308269,62,ONLINE/THETA-0.0
13964,475790,68,ONLINE/THETA-0.0
141756,7286769,14b,ONLINE/THETA-0.0
18659,914927,15,ONLINE/THETA-0.0
21756,1219555,16,ONLINE/THETA-0.0
34430,1962365,17,ONLINE/THETA-0.0
26407,1257656,18,ONLINE/THETA-0.0
15487,570469,19,ONLINE/THETA-0.0
15586,755327,20,ONLINE/THETA-0.0
8824,107779,21,ONLINE/THETA-0.0
9208,217396,22,ONLINE/THETA-0.0
74871,4954673,23a,ONLINE/THETA-0.0
74932,5449609,23b,ONLINE/THETA-0.0
26182,789275,24a,ONLINE/THETA-0.0
25484,692716,24b,ONLINE/THETA-0.0
28491,1620076,25,ONLINE/THETA-0.0
20594,984590,26,ONLINE/THETA-0.0
15326,554538,27,ONLINE/THETA-0.0
17316,1417622,28,ONLINE/THETA-0.0
29418,1654707,29,ONLINE/THETA-0.0
14745,734775,30,ONLINE/THETA-0.0
18820,1332010,31,ONLINE/THETA-0.0
12768,704776,32,ONLINE/THETA-0.0
16734,1157880,33,ONLINE/THETA-0.0
11948,449765,34,ONLINE/THETA-0.0
21097,1376517,35,ONLINE/THETA-0.0
16249,613518,36,ONLINE/THETA-0.0
7151,261262,37,ONLINE/THETA-0.0
17007,1116510,38,ONLINE/THETA-0.0
24777,469849,39a,ONLINE/THETA-0.0
25689,544884,39b,ONLINE/THETA-0.0
18834,794226,40,ONLINE/THETA-0.0
17323,118690,41,ONLINE/THETA-0.0
19147,873105,42,ONLINE/THETA-0.0
14334,416499,43,ONLINE/THETA-0.0
22200,415191,44,ONLINE/THETA-0.0
21418,912388,45,ONLINE/THETA-0.0
18558,611634,46,ONLINE/THETA-0.0
39092,1566547,47,ONLINE/THETA-0.0
17899,734214,48,ONLINE/THETA-0.0
32846,2416850,49,ONLINE/THETA-0.0
27774,1267281,50,ONLINE/THETA-0.0
16841,1071353,51,ONLINE/THETA-0.0
13572,709329,52,ONLINE/THETA-0.0
26672,411421,53,ONLINE/THETA-0.0
26636,1102625,54,ONLINE/THETA-0.0
10834,412496,55,ONLINE/THETA-0.0
16752,1229988,56,ONLINE/THETA-0.0
29389,1124918,57,ONLINE/THETA-0.0
26927,2451233,58,ONLINE/THETA-0.0
13362,514587,59,ONLINE/THETA-0.0
20760,1519576,60,ONLINE/THETA-0.0
22242,1406302,61,ONLINE/THETA-0.0
18914,268226,62,ONLINE/THETA-0.0
15297,494990,68,ONLINE/THETA-0.0
53735,1725673,69,ONLINE/THETA-0.0
38200,2063058,70,ONLINE/THETA-0.0
21818,1312315,71,ONLINE/THETA-0.0
30879,496683,73,ONLINE/THETA-0.0
36288,2668849,74,ONLINE/THETA-0.0
50651,4579565,75,ONLINE/THETA-0.0
14458,932257,76,ONLINE/THETA-0.0
39281,3598348,77,ONLINE/THETA-0.0
51322,4290106,78,ONLINE/THETA-0.0
18776,791874,79,ONLINE/THETA-0.0
39751,3208057,80,ONLINE/THETA-0.0
14610,771671,81,ONLINE/THETA-0.0
8663,340711,82,ONLINE/THETA-0.0
17999,1381607,83,ONLINE/THETA-0.0
7286,195367,84,ONLINE/THETA-0.0
13440,480947,85,ONLINE/THETA-0.0
13989,384655,86,ONLINE/THETA-0.0
22153,1542608,87,ONLINE/THETA-0.0
16048,595217,89,ONLINE/THETA-0.0
13526,306950,91,ONLINE/THETA-0.0
9748,456846,92,ONLINE/THETA-0.0
21380,771372,93,ONLINE/THETA-0.0
15588,748064,94,ONLINE/THETA-0.0
12656,258525,96,ONLINE/THETA-0.0
14904,966610,97,ONLINE/THETA-0.0
16936,769002,98,ONLINE/THETA-0.0
25509,348760,99,ONLINE/THETA-0.0
71030,4432751,88,ONLINE/THETA-0.0
13603,443752,90,ONLINE/THETA-0.0
14429,749589,01,ONLINE/THETA-0.0
12355,469424,02,ONLINE/THETA-0.0
12438,393813,63,ONLINE/THETA-0.0
48211,1743601,64,ONLINE/THETA-0.0
23085,1620928,65,ONLINE/THETA-0.0
52362,1112197,66,ONLINE/THETA-0.0
53965,2459627,67,ONLINE/THETA-0.0
11325,528191,03,ONLINE/THETA-0.0
68031,6572737,04,ONLINE/THETA-0.0
29990,2622317,05,ONLINE/THETA-0.0
15442,651512,06,ONLINE/THETA-0.0
22882,1006018,07,ONLINE/THETA-0.0
10619,401983,08,ONLINE/THETA-0.0
25285,2400576,09,ONLINE/THETA-0.0
23475,1559092,10,ONLINE/THETA-0.0
41131,3612372,11,ONLINE/THETA-0.0
11648,450867,12,ONLINE/THETA-0.0
13084,435735,13,ONLINE/THETA-0.0
107492,6183729,14a,ONLINE/THETA-0.0
51781,1791304,50,ONLINE/THETA-0.0
32782,1691025,51,ONLINE/THETA-0.0
11584,475781,52,ONLINE/THETA-0.0
12755,374049,53,ONLINE/THETA-0.0
28085,1096038,54,ONLINE/THETA-0.0
9584,409680,55,ONLINE/THETA-0.0
18342,1227689,56,ONLINE/THETA-0.0
31696,1173954,57,ONLINE/THETA-0.0
28321,2567774,58,ONLINE/THETA-0.0
