,optimum,Availability,dataset,theta
240,0,0-shot,sqlstorm,0.0
241,8,0-shot,sqlstorm,0.0
242,0,0-shot,sqlstorm,0.0
243,41,0-shot,sqlstorm,0.0
244,8,0-shot,sqlstorm,0.0
245,0,0-shot,sqlstorm,0.0
246,0,0-shot,sqlstorm,0.0
247,0,0-shot,sqlstorm,0.0
248,13,0-shot,sqlstorm,0.0
249,53,0-shot,sqlstorm,0.0
250,0,0-shot,sqlstorm,0.0
251,8,0-shot,sqlstorm,0.0
252,0,0-shot,sqlstorm,0.0
253,0,0-shot,sqlstorm,0.0
254,0,0-shot,sqlstorm,0.0
255,41,0-shot,sqlstorm,0.0
256,41,0-shot,sqlstorm,0.0
257,41,0-shot,sqlstorm,0.0
258,34,0-shot,sqlstorm,0.0
259,0,0-shot,sqlstorm,0.0
260,0,0-shot,sqlstorm,0.0
261,8,0-shot,sqlstorm,0.0
262,53,0-shot,sqlstorm,0.0
263,42,0-shot,sqlstorm,0.0
264,35,0-shot,sqlstorm,0.0
265,35,0-shot,sqlstorm,0.0
266,8,0-shot,sqlstorm,0.0
267,0,0-shot,sqlstorm,0.0
268,53,0-shot,sqlstorm,0.0
269,0,0-shot,sqlstorm,0.0
270,33,0-shot,sqlstorm,0.0
271,41,0-shot,sqlstorm,0.0
272,41,0-shot,sqlstorm,0.0
273,0,0-shot,sqlstorm,0.0
274,8,0-shot,sqlstorm,0.0
275,2,0-shot,sqlstorm,0.0
276,14,0-shot,sqlstorm,0.0
277,25,0-shot,sqlstorm,0.0
278,41,0-shot,sqlstorm,0.0
279,3,0-shot,sqlstorm,0.0
280,8,0-shot,sqlstorm,0.0
281,14,0-shot,sqlstorm,0.0
282,0,0-shot,sqlstorm,0.0
283,41,0-shot,sqlstorm,0.0
284,41,0-shot,sqlstorm,0.0
285,8,0-shot,sqlstorm,0.0
286,14,0-shot,sqlstorm,0.0
287,0,0-shot,sqlstorm,0.0
288,41,0-shot,sqlstorm,0.0
289,41,0-shot,sqlstorm,0.0
290,8,0-shot,sqlstorm,0.0
291,14,0-shot,sqlstorm,0.0
292,0,0-shot,sqlstorm,0.0
293,41,0-shot,sqlstorm,0.0
294,41,0-shot,sqlstorm,0.0
295,8,0-shot,sqlstorm,0.0
296,14,0-shot,sqlstorm,0.0
297,0,0-shot,sqlstorm,0.0
298,41,0-shot,sqlstorm,0.0
299,41,0-shot,sqlstorm,0.0
300,14,0-shot,sqlstorm,0.0
301,0,0-shot,sqlstorm,0.0
302,0,0-shot,sqlstorm,0.0
303,41,0-shot,sqlstorm,0.0
304,41,0-shot,sqlstorm,0.0
305,8,0-shot,sqlstorm,0.0
306,8,0-shot,sqlstorm,0.0
307,14,0-shot,sqlstorm,0.0
308,0,0-shot,sqlstorm,0.0
309,41,0-shot,sqlstorm,0.0
310,41,0-shot,sqlstorm,0.0
311,0,0-shot,sqlstorm,0.0
312,8,0-shot,sqlstorm,0.0
313,14,0-shot,sqlstorm,0.0
314,0,0-shot,sqlstorm,0.0
315,41,0-shot,sqlstorm,0.0
316,41,0-shot,sqlstorm,0.0
317,25,0-shot,sqlstorm,0.0
318,2,0-shot,sqlstorm,0.0
319,8,0-shot,sqlstorm,0.0
320,25,0-shot,sqlstorm,0.0
321,25,0-shot,sqlstorm,0.0
322,0,0-shot,sqlstorm,0.0
323,8,0-shot,sqlstorm,0.0
324,14,0-shot,sqlstorm,0.0
325,0,0-shot,sqlstorm,0.0
326,41,0-shot,sqlstorm,0.0
327,41,0-shot,sqlstorm,0.0
328,0,0-shot,sqlstorm,0.0
329,8,0-shot,sqlstorm,0.0
330,2,0-shot,sqlstorm,0.0
331,53,0-shot,sqlstorm,0.0
