Perf.,Cost,Query,Type
15219,528763,26209,ONLINE/THETA-0.0
14385,349896,27434,ONLINE/THETA-0.0
17270,403185,27479,ONLINE/THETA-0.0
6622,224732,27657,ONLINE/THETA-0.0
14374,372943,28943,ONLINE/THETA-0.0
25240,939203,29145,ONLINE/THETA-0.0
8788,139445,29345,ONLINE/THETA-0.0
7734,63026,29509,ONLINE/THETA-0.0
12855,525805,29583,ONLINE/THETA-0.0
30289,1725533,3046,ONLINE/THETA-0.0
177366,1338781,3053,ONLINE/THETA-0.0
4244,146491,3066,ONLINE/THETA-0.0
7611,225525,3100,ONLINE/THETA-0.0
95751,3788433,3158,ONLINE/THETA-0.0
27152,1062836,3177,ONLINE/THETA-0.0
27355,549405,3196,ONLINE/THETA-0.0
47283,281361,3201,ONLINE/THETA-0.0
9709,418484,3279,ONLINE/THETA-0.0
18631,1018517,3349,ONLINE/THETA-0.0
13512,586762,3383,ONLINE/THETA-0.0
7115,244633,3384,ONLINE/THETA-0.0
14991,526411,3387,ONLINE/THETA-0.0
17538,787389,3407,ONLINE/THETA-0.0
5965,155250,4667,ONLINE/THETA-0.0
660,1992,5165,ONLINE/THETA-0.0
5481,198593,5222,ONLINE/THETA-0.0
1473,220,5520,ONLINE/THETA-0.0
17947,708348,7618,ONLINE/THETA-0.0
14861,638812,9055,ONLINE/THETA-0.0
12086,444481,9635,ONLINE/THETA-0.0
15297,279759,10053,ONLINE/THETA-0.0
22484,616749,10152,ONLINE/THETA-0.0
22973,651191,10182,ONLINE/THETA-0.0
26533,769245,10371,ONLINE/THETA-0.0
27325,806096,11037,ONLINE/THETA-0.0
24553,677600,11062,ONLINE/THETA-0.0
421,3513,11842,ONLINE/THETA-0.0
23014,575028,11896,ONLINE/THETA-0.0
27102,784613,12302,ONLINE/THETA-0.0
3157,38860,12363,ONLINE/THETA-0.0
23261,608087,13154,ONLINE/THETA-0.0
6752,238485,13206,ONLINE/THETA-0.0
12608,371005,13218,ONLINE/THETA-0.0
26999,830397,13768,ONLINE/THETA-0.0
22321,620231,14206,ONLINE/THETA-0.0
9637,377860,14658,ONLINE/THETA-0.0
21847,626265,14757,ONLINE/THETA-0.0
21032,610704,16000,ONLINE/THETA-0.0
19171,363847,20676,ONLINE/THETA-0.0
21281,1335567,22052,ONLINE/THETA-0.0
6316,229182,22740,ONLINE/THETA-0.0
18534,649820,22931,ONLINE/THETA-0.0
28526,690114,23239,ONLINE/THETA-0.0
24456,22452,25216,ONLINE/THETA-0.0
28408,1200528,3,ONLINE/THETA-0.0
13026,292317,25,ONLINE/THETA-0.0
18009,623681,29,ONLINE/THETA-0.0
17190,903205,283,ONLINE/THETA-0.0
15454,778964,531,ONLINE/THETA-0.0
7355,122123,25,ONLINE/THETA-0.0
12288,384205,29,ONLINE/THETA-0.0
79637,1123922,296,ONLINE/THETA-0.0
17641,862032,355,ONLINE/THETA-0.0
17091,481327,377,ONLINE/THETA-0.0
14800,643652,387,ONLINE/THETA-0.0
15506,796923,406,ONLINE/THETA-0.0
18645,455881,423,ONLINE/THETA-0.0
9083,275152,429,ONLINE/THETA-0.0
25433,1118644,523,ONLINE/THETA-0.0
10203,488093,557,ONLINE/THETA-0.0
16691,601616,657,ONLINE/THETA-0.0
32016,1375023,641,ONLINE/THETA-0.0
13690,684955,726,ONLINE/THETA-0.0
33424,543219,749,ONLINE/THETA-0.0
13996,768250,832,ONLINE/THETA-0.0
13351,269251,843,ONLINE/THETA-0.0
4947,145040,1065,ONLINE/THETA-0.0
11252,361283,1142,ONLINE/THETA-0.0
15595,665862,1204,ONLINE/THETA-0.0
140314,6009656,1223,ONLINE/THETA-0.0
16123,866340,1282,ONLINE/THETA-0.0
85199,2891155,1296,ONLINE/THETA-0.0
5768,191357,1501,ONLINE/THETA-0.0
7110,232128,1517,ONLINE/THETA-0.0
11150,622427,1645,ONLINE/THETA-0.0
8409,511668,1650,ONLINE/THETA-0.0
22920,869358,2026,ONLINE/THETA-0.0
27396,838486,2107,ONLINE/THETA-0.0
10566,478582,2057,ONLINE/THETA-0.0
4255,81973,2103,ONLINE/THETA-0.0
16643,527804,2112,ONLINE/THETA-0.0
33791,1022042,2179,ONLINE/THETA-0.0
35598,796408,3020,ONLINE/THETA-0.0
28167,1116197,3,ONLINE/THETA-0.0
13601,271498,25,ONLINE/THETA-0.0
18830,626035,29,ONLINE/THETA-0.0
19948,1068868,283,ONLINE/THETA-0.0
14456,791406,531,ONLINE/THETA-0.0
7361,140536,25,ONLINE/THETA-0.0
13171,414523,29,ONLINE/THETA-0.0
79057,1007505,296,ONLINE/THETA-0.0
17739,1025088,355,ONLINE/THETA-0.0
16990,448351,377,ONLINE/THETA-0.0
14097,621578,387,ONLINE/THETA-0.0
18951,819187,406,ONLINE/THETA-0.0
19928,467974,423,ONLINE/THETA-0.0
11173,296684,429,ONLINE/THETA-0.0
27209,1176233,523,ONLINE/THETA-0.0
9148,454070,557,ONLINE/THETA-0.0
139131,3903176,657,ONLINE/THETA-0.0
32915,1460865,641,ONLINE/THETA-0.0
10309,521337,726,ONLINE/THETA-0.0
30491,563255,749,ONLINE/THETA-0.0
14596,762395,832,ONLINE/THETA-0.0
12487,257697,843,ONLINE/THETA-0.0
4548,123211,1065,ONLINE/THETA-0.0
11716,509323,1142,ONLINE/THETA-0.0
15548,683590,1204,ONLINE/THETA-0.0
23213,1467983,1223,ONLINE/THETA-0.0
9913,421117,1282,ONLINE/THETA-0.0
86475,3012903,1296,ONLINE/THETA-0.0
5985,165829,1501,ONLINE/THETA-0.0
7168,231621,1517,ONLINE/THETA-0.0
14122,693851,1645,ONLINE/THETA-0.0
8590,524038,1650,ONLINE/THETA-0.0
20539,888277,2026,ONLINE/THETA-0.0
27965,816241,2107,ONLINE/THETA-0.0
14697,662935,2057,ONLINE/THETA-0.0
3505,92626,2103,ONLINE/THETA-0.0
16848,505960,2112,ONLINE/THETA-0.0
35297,972924,2179,ONLINE/THETA-0.0
38551,912285,3020,ONLINE/THETA-0.0
15068,1243726,3046,ONLINE/THETA-0.0
170107,1007141,3053,ONLINE/THETA-0.0
2279,25799,3066,ONLINE/THETA-0.0
5861,283289,3100,ONLINE/THETA-0.0
91622,3870094,3158,ONLINE/THETA-0.0
23364,974859,3177,ONLINE/THETA-0.0
27510,579551,3196,ONLINE/THETA-0.0
8379,232339,3201,ONLINE/THETA-0.0
8401,346029,3279,ONLINE/THETA-0.0
18307,911925,3349,ONLINE/THETA-0.0
11371,571460,3383,ONLINE/THETA-0.0
6094,196208,3384,ONLINE/THETA-0.0
14326,454659,3387,ONLINE/THETA-0.0
15268,726916,3407,ONLINE/THETA-0.0
4715,108127,4667,ONLINE/THETA-0.0
586,0,5165,ONLINE/THETA-0.0
5582,190991,5222,ONLINE/THETA-0.0
1334,261,5520,ONLINE/THETA-0.0
17171,655537,7618,ONLINE/THETA-0.0
13625,582662,9055,ONLINE/THETA-0.0
11925,430165,9635,ONLINE/THETA-0.0
14474,288554,10053,ONLINE/THETA-0.0
22098,595299,10152,ONLINE/THETA-0.0
26269,775805,10182,ONLINE/THETA-0.0
25457,738436,10371,ONLINE/THETA-0.0
27135,781554,11037,ONLINE/THETA-0.0
23818,669703,11062,ONLINE/THETA-0.0
364,6430,11842,ONLINE/THETA-0.0
22266,603563,11896,ONLINE/THETA-0.0
26763,784912,12302,ONLINE/THETA-0.0
3436,47419,12363,ONLINE/THETA-0.0
22114,614525,13154,ONLINE/THETA-0.0
6026,194508,13206,ONLINE/THETA-0.0
10969,335841,13218,ONLINE/THETA-0.0
26864,800988,13768,ONLINE/THETA-0.0
22916,591693,14206,ONLINE/THETA-0.0
9292,345865,14658,ONLINE/THETA-0.0
22013,657376,14757,ONLINE/THETA-0.0
21122,607848,16000,ONLINE/THETA-0.0
17398,337092,20676,ONLINE/THETA-0.0
20960,1244796,22052,ONLINE/THETA-0.0
7345,248866,22740,ONLINE/THETA-0.0
17187,590185,22931,ONLINE/THETA-0.0
27996,724158,23239,ONLINE/THETA-0.0
3481,18236,25216,ONLINE/THETA-0.0
12017,420367,25456,ONLINE/THETA-0.0
3386,38726,25686,ONLINE/THETA-0.0
5439,193574,25906,ONLINE/THETA-0.0
7610,266445,26209,ONLINE/THETA-0.0
6549,210238,27434,ONLINE/THETA-0.0
10560,308758,27479,ONLINE/THETA-0.0
4729,158586,27657,ONLINE/THETA-0.0
7589,118282,28943,ONLINE/THETA-0.0
13197,645086,29145,ONLINE/THETA-0.0
4316,89899,29345,ONLINE/THETA-0.0
5492,19792,29509,ONLINE/THETA-0.0
8367,313665,29583,ONLINE/THETA-0.0
26217,1149045,3,ONLINE/THETA-0.0
14828,353661,25,ONLINE/THETA-0.0
17708,596683,29,ONLINE/THETA-0.0
17680,937063,283,ONLINE/THETA-0.0
12788,697569,531,ONLINE/THETA-0.0
7765,100214,25,ONLINE/THETA-0.0
12815,329045,29,ONLINE/THETA-0.0
105779,949331,296,ONLINE/THETA-0.0
22012,993336,355,ONLINE/THETA-0.0
18820,528574,377,ONLINE/THETA-0.0
18400,767915,387,ONLINE/THETA-0.0
18652,976737,406,ONLINE/THETA-0.0
19571,471972,423,ONLINE/THETA-0.0
9685,313284,429,ONLINE/THETA-0.0
27808,1156476,523,ONLINE/THETA-0.0
9700,431596,557,ONLINE/THETA-0.0
16751,582444,657,ONLINE/THETA-0.0
31656,1371630,641,ONLINE/THETA-0.0
9731,534458,726,ONLINE/THETA-0.0
29419,486176,749,ONLINE/THETA-0.0
13829,739197,832,ONLINE/THETA-0.0
11761,281087,843,ONLINE/THETA-0.0
4875,109190,1065,ONLINE/THETA-0.0
10847,484163,1142,ONLINE/THETA-0.0
15786,695468,1204,ONLINE/THETA-0.0
17227,960062,1223,ONLINE/THETA-0.0
10837,457855,1282,ONLINE/THETA-0.0
86217,2931942,1296,ONLINE/THETA-0.0
5851,196304,1501,ONLINE/THETA-0.0
7548,266102,1517,ONLINE/THETA-0.0
15756,736293,1645,ONLINE/THETA-0.0
8846,574976,1650,ONLINE/THETA-0.0
21432,842933,2026,ONLINE/THETA-0.0
28643,839926,2107,ONLINE/THETA-0.0
11222,496587,2057,ONLINE/THETA-0.0
3054,67625,2103,ONLINE/THETA-0.0
16213,465133,2112,ONLINE/THETA-0.0
35473,951132,2179,ONLINE/THETA-0.0
35516,813731,3020,ONLINE/THETA-0.0
17379,1128709,3046,ONLINE/THETA-0.0
171099,1087362,3053,ONLINE/THETA-0.0
2727,13835,3066,ONLINE/THETA-0.0
7251,267987,3100,ONLINE/THETA-0.0
92999,4063850,3158,ONLINE/THETA-0.0
27522,1132004,3177,ONLINE/THETA-0.0
27907,521671,3196,ONLINE/THETA-0.0
9070,259910,3201,ONLINE/THETA-0.0
7822,330800,3279,ONLINE/THETA-0.0
16447,904666,3349,ONLINE/THETA-0.0
23494,601691,3383,ONLINE/THETA-0.0
6761,199101,3384,ONLINE/THETA-0.0
16477,539441,3387,ONLINE/THETA-0.0
15683,687514,3407,ONLINE/THETA-0.0
5043,118475,4667,ONLINE/THETA-0.0
608,993,5165,ONLINE/THETA-0.0
5006,189566,5222,ONLINE/THETA-0.0
1649,1477,5520,ONLINE/THETA-0.0
21725,804742,7618,ONLINE/THETA-0.0
14059,678049,9055,ONLINE/THETA-0.0
10766,429613,9635,ONLINE/THETA-0.0
15413,293455,10053,ONLINE/THETA-0.0
22052,594461,10152,ONLINE/THETA-0.0
